location,asset,expected_value
London,pump_status,ON
London,penstock_open,true
London,valve_operational,true
London,generator_status,ONLINE
London,chlorination_unit,true
London,flow_meter_operational,true
Manchester,pump_status,ON
Manchester,penstock_open,false
Manchester,valve_operational,true
Manchester,generator_status,STANDBY
Manchester,backup_pump_ready,true
Manchester,ph_sensor_operational,true
Birmingham,pump_status,ON
Birmingham,valve_operational,true
Birmingham,penstock_open,true
Birmingham,filter_unit,true
Birmingham,backup_generator_status,STANDBY
Birmingham,nitrate_sensor,true
Leeds,pump_status,ON
Leeds,penstock_open,false
Leeds,valve_operational,true
Leeds,flow_sensor_operational,true
Leeds,backup_valve_ready,true
Leeds,uv_unit_status,true
